STATE/UT,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2001,CASES REGISTERED UNDER CUSTODIAL DEATHS-2001,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2001,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2001,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2002,CASES REGISTERED UNDER CUSTODIAL DEATHS-2002,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2002,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2002,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2003,CASES REGISTERED UNDER CUSTODIAL DEATHS-2003,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2003,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2003,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2004,CASES REGISTERED UNDER CUSTODIAL DEATHS-2004,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2004,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2004,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2005,CASES REGISTERED UNDER CUSTODIAL DEATHS-2005,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2005,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2005,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2006,CASES REGISTERED UNDER CUSTODIAL DEATHS-2006,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2006,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2006,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2007,CASES REGISTERED UNDER CUSTODIAL DEATHS-2007,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2007,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2007,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2008,CASES REGISTERED UNDER CUSTODIAL DEATHS-2008,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2008,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2008,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2009,CASES REGISTERED UNDER CUSTODIAL DEATHS-2009,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2009,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2009,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2010,CASES REGISTERED UNDER CUSTODIAL DEATHS-2010,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2010,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2010,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2011,CASES REGISTERED UNDER CUSTODIAL DEATHS-2011,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2011,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2011,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2012,CASES REGISTERED UNDER CUSTODIAL DEATHS-2012,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2012,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2012
ANDHRA PRADESH,13,4,1,0,7,4,0,0,6,5,5,0,14,12,1,0,53,53,0,0,28,28,0,0,23,23,2,0,17,17,2,0,6,6,0,0,9,9,2,0,17,16,0,0,11,5,0,0
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0
ASSAM,3,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,7,7,0,0,3,3,0,0,0,0,0,0,11,11,0,0
BIHAR,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,0
CHHATTISGARH,8,0,0,0,1,0,0,0,2,0,0,0,2,2,2,4,0,0,0,0,1,0,0,0,2,2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,2,1,0,0
GOA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
GUJARAT,7,1,2,0,5,1,0,0,11,3,0,0,12,1,0,0,20,2,0,0,8,2,0,0,15,2,0,0,22,3,2,0,6,2,1,0,6,1,4,0,8,0,0,0,19,2,0,0
HARYANA,1,1,1,0,3,3,13,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HIMACHAL PRADESH,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,1,1,1,0
JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,4,4,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,1,0,1,1,0,0
JHARKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0
KARNATAKA,1,1,0,0,1,1,0,0,1,0,5,0,0,0,0,0,3,1,2,0,2,0,0,0,0,0,0,0,3,3,9,0,1,1,6,0,1,0,0,0,0,0,0,0,1,1,0,0
KERALA,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,5,2,1,0,1,0,0,0,2,1,7,0,1,1,0,0,1,1,0,0,2,0,5,4,11,7,6,0,4,0,0,0,10,2,0,0,2,1,0,0,8,1,0,0,4,1,0,0
MAHARASHTRA,14,3,0,0,17,3,4,0,27,6,4,0,21,2,6,0,17,3,0,0,18,2,0,0,26,0,0,0,31,5,0,0,18,1,0,0,23,3,0,0,35,5,0,0,24,0,0,0
